,,Ledger,Coinbase,Coinbase Pro,BlockFi,TerraStation,KuCoin,Trust,Metamask,CDC,Anchor
ETH,ethereum,1.01,,0.35,0.84915475,,,,0.0315,0.0495,
UST,terrausd,,,,,7004,,,,,480.234
USDC,usd-coin,,0.003664,1,7502.66,,,,,,
BTC,bitcoin,,0.00195772,0.07,0.03494863,,0.00877121,,,0.004,
ADA,cardano,,,2755,,,0.1958,,,,
LINK,chainlink,,,99.98,,,,,,,
DOT,polkadot,,,52,,,,,,,
UNI,uniswap,,,80,,,,,,,
LRC,loopring,,,337,,,,,,,
BNB,binancecoin,,,,,,,1.0915,,,
CRO,crypto-com-chain,,,1.03,,,,,,906.48,
SAFEMOON,safemoon,,,,,,,153590.4318,,,
AVAX,avalanche-2,,,0,,,,,7.9893,,
LUNA,terra-luna,,,,,3.491597,,,,,
USDT,tether,,,0.062704,,,231.9,,,,
SHIB,shiba-inu,,,5000000,,,,,,,
HERO,metahero,,,,,,,778.18,,,
NUM,numbers-protocol,,,,,,66.55,,,,
DOGE,dogecoin,,265.48,,,,,,,,
WAGMI,euphoria-2,,,,,,,,0.305508,,
CAT,catgirl,,,,,,,10024324249,,,
ONE,harmony,,,,,,,,207.56013,,
XLM,stellar,,70.19,,,,8000.832,,,,
BAT,basic-attention-token,,10.38,,,,,,,,
FLUF,fluffy-coin,,,,,,,10009,,,
COMP,compound-governance-token,,0.030063,,,,,,,,
JEWEL,defi-kingdoms,,,,,,,,0.204,,