"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
12/12/2017 18:27:37,Buy,,0.56338723,LTC,...,...,Coinbase - LTC Wallet,,,Bought Litecoin Using Visa debit ********6305,200.00,USD,...,...,Coinbase - USD Wallet,,,Bought Litecoin Using Visa debit ********6305,5.85,USD,...,
12/13/2017 04:22:41,Buy,,0.30762244,LTC,...,...,Coinbase - LTC Wallet,,,Bought Litecoin Using Visa debit ********6305,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Litecoin Using Visa debit ********6305,3.41,USD,...,
12/13/2017 18:35:49,Buy,,0.01782139,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using Visa debit ********6305,300.00,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using Visa debit ********6305,9.26,USD,...,
12/15/2017 06:34:23,Buy,,0.14197607,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using Visa debit ********6305,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using Visa debit ********6305,3.41,USD,...,
12/21/2017 16:13:38,Buy,,0.00599276,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using Visa debit ********6305,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using Visa debit ********6305,3.41,USD,...,
12/31/2017 10:28:46,Send,,,,...,...,,,,,0.00894174,BTC,...,...,Coinbase - BTC Wallet,1Aw8fBYBnEKM2pGav7NueyUoYFDNToVByG,,Sent Bitcoin To Bitcoin address,0.00114174,BTC,...,
12/31/2017 10:53:15,Receive,,0.00780000,BTC,...,...,Binance - BTC,1Aw8fBYBnEKM2pGav7NueyUoYFDNToVByG,,,,,...,...,,,,,,,...,
12/31/2017 19:27:54,Trade,,25.00000000,MIOTA,...,...,Binance - MIOTA,,,,0.00653750,BTC,...,...,Binance - BTC,,,,0.02500000,MIOTA,...,
01/05/2018 09:03:18,Send,,,,...,...,,,,,0.01487241,BTC,...,...,Coinbase - BTC Wallet,1Aw8fBYBnEKM2pGav7NueyUoYFDNToVByG,,Sent Bitcoin To Bitcoin address,0.00108737,BTC,...,
01/05/2018 21:11:33,Receive,,0.01378504,BTC,...,...,Binance - BTC,1Aw8fBYBnEKM2pGav7NueyUoYFDNToVByG,,,,,...,...,,,,,,,...,
01/05/2018 22:13:01,Trade,,100.00000000,XLM,...,...,Binance - XLM,,,,0.00400000,BTC,...,...,Binance - BTC,,,,0.10000000,XLM,...,
01/09/2018 10:08:24,Trade,,52.00000000,POWR,...,...,Binance - POWR,,,,0.00551200,BTC,...,...,Binance - BTC,,,,0.05200000,POWR,...,
01/09/2018 13:16:31,Trade,,1.53000000,QTUM,...,...,Binance - QTUM,,,,0.00550800,BTC,...,...,Binance - BTC,,,,0.00153000,QTUM,...,
01/10/2018 07:55:45,Buy,,0.01396827,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using Visa debit ********6305,206.00,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using Visa debit ********6305,6.00,USD,...,
05/04/2018 02:28:02,Buy,,0.00995665,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using Visa debit ********6305,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using Visa debit ********6305,3.41,USD,...,
05/30/2018 13:31:50,Buy,,0.17440936,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using US Bank - Checking ********3939,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using US Bank - Checking ********3939,1.00,USD,...,
07/12/2018 01:01:06,Buy,,0.22115383,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using US Bank - Checking ********3939,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using US Bank - Checking ********3939,1.00,USD,...,
07/26/2018 03:55:03,Buy,,0.20298474,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using US Bank - Checking ********3939,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using US Bank - Checking ********3939,2.99,USD,...,
09/02/2018 20:19:59,Buy,,0.01325900,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using US Bank - Checking ********3939,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using US Bank - Checking ********3939,2.99,USD,...,
09/02/2018 20:20:24,Buy,,0.32961367,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using US Bank - Checking ********3939,100.00,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using US Bank - Checking ********3939,2.99,USD,...,
09/05/2018 12:05:38,Sell,,100.00,USD,...,...,Coinbase - USD Wallet,,,Sold Bitcoin Using USD Wallet,0.01479950,BTC,...,...,Coinbase - BTC Wallet,,,Sold Bitcoin Using USD Wallet,2.99,USD,...,
09/05/2018 12:05:54,Sell,,100.00,USD,...,...,Coinbase - USD Wallet,,,Sold Ethereum Using USD Wallet,0.40150325,ETH,...,...,Coinbase - ETH Wallet,,,Sold Ethereum Using USD Wallet,2.99,USD,...,
09/14/2018 05:04:47,Transfer,,200.00,USD,...,...,Coinbase Pro - USD,,,,200.00,USD,...,...,Coinbase - USD Wallet,,,Withdrew funds To US Bank - Checking ********3939,,,...,
09/14/2018 05:32:27,Receive,,200.00,USD,...,...,Coinbase - USD Wallet,,,Deposited funds From US Bank - Checking ********3939,,,...,...,,,,,,,...,
09/21/2018 05:32:31,Send,,,,...,...,,,,,200.00,USD,...,...,Coinbase - USD Wallet,,,Transferred funds To Coinbase Pro,,,...,
09/24/2018 06:41:37,Buy,,0.85106382,ETH,...,...,Coinbase Pro - ETH,,,,200.00,USD,...,...,Coinbase Pro - USD,,,,,,...,
09/24/2018 14:01:23,Transfer,02fea3242688a12939f9c5aa635f4cd553899f76db7c9f2892cc697642a7e3a4,0.85106382,ETH,...,...,Coinbase - ETH Wallet,,,Transferred Ethereum From Coinbase Pro,0.85106382,ETH,...,...,Coinbase Pro - ETH,0xb31b24cfdfc08d47b1c6fdfdca8c0f072395a1f2,,,,,...,
09/24/2018 14:01:23,Transfer,,0.85106382,ETH,...,...,Binance - ETH,0xb31b24cfdfc08d47b1c6fdfdca8c0f072395a1f2,,,0.85106382,ETH,...,...,Coinbase - ETH Wallet,0xb31b24CfDfc08d47B1c6FDfDCA8C0f072395A1f2,,Sent Ethereum To Ethereum address,0.00000000,ETH,...,
09/24/2018 20:09:06,Trade,,175.00000000,MIOTA,...,...,Binance - MIOTA,,,,0.42437500,ETH,...,...,Binance - ETH,,,,0.17500000,MIOTA,...,
09/24/2018 23:04:24,Trade,,377.00000000,XLM,...,...,Binance - XLM,,,,0.42601000,ETH,...,...,Binance - ETH,,,,0.37700000,XLM,...,
10/02/2018 22:29:34,Receive,,1800.00,USD,...,...,Coinbase Pro - USD,,,,,,...,...,,,,,,,...,
10/02/2018 22:29:35,Receive,,1800.00,USD,...,...,Coinbase - USD Wallet,,,Deposited funds From US Bank - Savings ********5401,,,...,...,,,,,,,...,
10/09/2018 22:29:57,Send,,,,...,...,,,,,1800.00,USD,...,...,Coinbase - USD Wallet,,,Transferred funds To Coinbase Pro,,,...,
10/14/2018 23:42:15,Buy,,0.52630000,ETH,...,...,Coinbase Pro - ETH,,,,100.00,USD,...,...,Coinbase Pro - USD,,,,,,...,
10/17/2018 18:07:50,Transfer,eb9519ed458351cca652376596ac69b46bbd72e617c4e8ccd09d59e2e52f08dc,0.52630000,ETH,...,...,Coinbase - ETH Wallet,,,Transferred Ethereum From Coinbase Pro,0.52630000,ETH,...,...,Coinbase Pro - ETH,0xb31b24cfdfc08d47b1c6fdfdca8c0f072395a1f2,,,,,...,
10/17/2018 18:07:51,Transfer,,0.52630000,ETH,...,...,Binance - ETH,0xb31b24cfdfc08d47b1c6fdfdca8c0f072395a1f2,,,0.52630000,ETH,...,...,Coinbase - ETH Wallet,0xb31b24CfDfc08d47B1c6FDfDCA8C0f072395A1f2,,Sent Ethereum To Ethereum address,0.00000000,ETH,...,
10/18/2018 15:07:55,Buy,,1.00000000,ETH,...,...,Coinbase Pro - ETH,,,,200.00,USD,...,...,Coinbase Pro - USD,,,,,,...,
10/24/2018 16:31:14,Transfer,7b9eae62afd3db1158b7ea74df46b9697095f4f018e8497c9dfcc2194d338644,1.00000000,ETH,...,...,Coinbase - ETH Wallet,,,Transferred Ethereum From Coinbase Pro,1.00000000,ETH,...,...,Coinbase Pro - ETH,0xb31b24cfdfc08d47b1c6fdfdca8c0f072395a1f2,,,,,...,
10/24/2018 16:31:14,Transfer,,1.00000000,ETH,...,...,Binance - ETH,0xb31b24cfdfc08d47b1c6fdfdca8c0f072395a1f2,,,1.00000000,ETH,...,...,Coinbase - ETH Wallet,0xb31b24CfDfc08d47B1c6FDfDCA8C0f072395A1f2,,Sent Ethereum To Ethereum address,0.00000000,ETH,...,
10/25/2018 02:03:42,Buy,,2.00000000,ETH,...,...,Coinbase Pro - ETH,,,,400.00,USD,...,...,Coinbase Pro - USD,,,,,,...,
10/25/2018 02:09:27,Buy,,0.10000000,BTC,...,...,Coinbase Pro - BTC,,,,640.00,USD,...,...,Coinbase Pro - USD,,,,,,...,
10/25/2018 08:13:51,Trade,,326.00000000,XLM,...,...,Binance - XLM,,,,0.38142000,ETH,...,...,Binance - ETH,,,,0.32600000,XLM,...,
10/26/2018 08:48:59,Trade,,118.00000000,MIOTA,...,...,Binance - MIOTA,,,,0.28438000,ETH,...,...,Binance - ETH,,,,0.11800000,MIOTA,...,
11/08/2018 02:41:06,Buy,,1.00000000,ETH,...,...,Coinbase Pro - ETH,,,,215.00,USD,...,...,Coinbase Pro - USD,,,,,,...,
11/08/2018 23:52:49,Buy,,1.16668096,ETH,...,...,Coinbase Pro - ETH,,,,245.00,USD,...,...,Coinbase Pro - USD,,,,,,...,
11/13/2018 07:16:51,Trade,,168.00000000,XLM,...,...,Binance - XLM,,,,0.21420000,ETH,...,...,Binance - ETH,,,,0.16800000,XLM,...,
11/23/2018 08:50:17,Transfer,a6cc171970c443f7f8027cdef734e531714682b1d45b150393da7aad3ea50fb7,4.16668096,ETH,...,...,Coinbase - ETH Wallet,,,Transferred Ethereum From Coinbase Pro,4.16668096,ETH,...,...,Coinbase Pro - ETH,0xb31b24CfDfc08d47B1c6FDfDCA8C0f072395A1f2,,,,,...,
11/23/2018 08:50:18,Transfer,,4.16668096,ETH,...,...,Binance - ETH,0xb31b24cfdfc08d47b1c6fdfdca8c0f072395a1f2,,,4.16668096,ETH,...,...,Coinbase - ETH Wallet,0xb31b24CfDfc08d47B1c6FDfDCA8C0f072395A1f2,,Sent Ethereum To Ethereum address,0.00000000,ETH,...,
11/28/2018 05:39:06,Trade,,187.00000000,XLM,...,...,Binance - XLM,,,,0.24933271,ETH,...,...,Binance - ETH,,,,0.18700000,XLM,...,
11/28/2018 06:48:56,Trade,,100.00000000,MIOTA,...,...,Binance - MIOTA,,,,0.25000000,ETH,...,...,Binance - ETH,,,,0.10000000,MIOTA,...,
04/30/2019 14:23:56,Receive,,20.15875020,XLM,...,...,Coinbase - XLM Wallet,,Payment,Received Stellar Lumens From Coinbase Earn,,,...,...,,,,,,,...,
04/30/2019 14:24:25,Receive,,20.15377330,XLM,...,...,Coinbase - XLM Wallet,,Payment,Received Stellar Lumens From Coinbase Earn,,,...,...,,,,,,,...,
04/30/2019 14:25:58,Receive,,20.14869740,XLM,...,...,Coinbase - XLM Wallet,,Payment,Received Stellar Lumens From Coinbase Earn,,,...,...,,,,,,,...,
04/30/2019 14:26:30,Receive,,20.14971240,XLM,...,...,Coinbase - XLM Wallet,,Payment,Received Stellar Lumens From Coinbase Earn,,,...,...,,,,,,,...,
04/30/2019 14:29:24,Receive,,20.13835050,XLM,...,...,Coinbase - XLM Wallet,,Payment,Received Stellar Lumens From Coinbase Earn,,,...,...,,,,,,,...,
04/30/2019 14:34:07,Receive,,2.56275876,BAT,...,...,Coinbase - BAT Wallet,,Payment,Received Basic Attention Token From Coinbase Earn,,,...,...,,,,,,,...,
04/30/2019 14:34:35,Receive,,2.56290326,BAT,...,...,Coinbase - BAT Wallet,,Payment,Received Basic Attention Token From Coinbase Earn,,,...,...,,,,,,,...,
04/30/2019 14:35:03,Receive,,2.56487861,BAT,...,...,Coinbase - BAT Wallet,,Payment,Received Basic Attention Token From Coinbase Earn,,,...,...,,,,,,,...,
04/30/2019 14:35:11,Receive,,17.95415023,BAT,...,...,Coinbase - BAT Wallet,,Payment,Received Basic Attention Token From Coinbase Earn,,,...,...,,,,,,,...,
06/27/2019 04:50:08,Transfer,,4.30432707,ETH,...,...,Coinbase - ETH Wallet,,,Received Ethereum From Ethereum address,4.30432707,ETH,...,...,Binance - ETH,0x87B31Afbe20E02e9878FB93C2eCBbeC452CEbbE8,,,,,...,
06/27/2019 04:51:52,Trade,,0.14491272,ETH,...,...,Binance - ETH,,,,111.00000000,MIOTA,...,...,Binance - MIOTA,,,,0.00014491,ETH,...,
06/27/2019 04:51:52,Trade,,0.24935050,ETH,...,...,Binance - ETH,,,,191.00000000,MIOTA,...,...,Binance - MIOTA,,,,0.00024935,ETH,...,
06/27/2019 04:51:52,Trade,,0.15011295,ETH,...,...,Binance - ETH,,,,115.00000000,MIOTA,...,...,Binance - MIOTA,,,,0.00015011,ETH,...,
06/27/2019 04:56:28,Transfer,,0.53383180,ETH,...,...,Coinbase - ETH Wallet,,,Received Ethereum From Ethereum address,0.53383180,ETH,...,...,Binance - ETH,0x87B31Afbe20E02e9878FB93C2eCBbeC452CEbbE8,,,,,...,
06/27/2019 04:57:02,Transfer,0894ba31504682230ded4eaa6f80b38493bc2c8f9e009f8889ffe3872a975f56,4.30432707,ETH,...,...,Coinbase Pro - ETH,,,,4.30432707,ETH,...,...,Coinbase - ETH Wallet,,,Transferred Ethereum To Coinbase Pro,,,...,
06/27/2019 05:05:47,Transfer,edcc910eb6ed919fe56525c6f82f3b7cc068c1d86ee66bde295f50ca49f90793,0.53383180,ETH,...,...,Coinbase Pro - ETH,,,,0.53383180,ETH,...,...,Coinbase - ETH Wallet,,,Transferred Ethereum To Coinbase Pro,,,...,
07/10/2019 03:59:12,Transfer,,1156.83200000,XLM,...,...,Coinbase - XLM Wallet,,,Received Stellar Lumens From Stellar Lumens address,1156.83200000,XLM,...,...,Binance - XLM,GDQP2KPQGKIHYJGXNUIYOMHARUARCA7DJT5FO2FFOOKY3B2WSQHG4W37,,,,,...,
07/10/2019 03:59:47,Transfer,352a13cbec875ff3edf8fe942509b5d4198b67aa2d57087c6b71262d45168eeb,1156.83200000,XLM,...,...,Coinbase Pro - XLM,,,,1156.83200000,XLM,...,...,Coinbase - XLM Wallet,,,Transferred Stellar Lumens To Coinbase Pro,,,...,
02/06/2020 05:08:18,Trade,,0.00039967,BTC,...,...,Binance - BTC,,,,1.56000000,QTUM,...,...,Binance - QTUM,,,,0.00000040,BTC,...,
02/06/2020 05:11:46,Trade,,0.00027336,BTC,...,...,Binance - BTC,,,,51.00000000,POWR,...,...,Binance - POWR,,,,0.00000027,BTC,...,
02/06/2020 05:20:40,Trade,,0.00651293,BTC,...,...,Coinbase - BTC Wallet,,,Converted from Litecoin Using LTC Wallet,0.87100967,LTC,...,...,Coinbase - LTC Wallet,,,Converted from Litecoin Using LTC Wallet,,,...,
02/12/2020 19:04:40,Sell,,293.33,USD,...,...,Coinbase - USD Wallet,,,Sold Bitcoin Using USD Wallet,0.02889667,BTC,...,...,Coinbase - BTC Wallet,,,Sold Bitcoin Using USD Wallet,4.44,USD,...,
02/12/2020 19:05:11,Sell,,174.63,USD,...,...,Coinbase - USD Wallet,,,Sold Ethereum Using USD Wallet,0.66863442,ETH,...,...,Coinbase - ETH Wallet,,,Sold Ethereum Using USD Wallet,2.99,USD,...,
02/12/2020 19:06:17,Send,,,,...,...,,,,,467.96,USD,...,...,Coinbase - USD Wallet,,,Withdrew funds To US Bank - Savings ********5401,,,...,
02/18/2020 01:30:16,Transfer,262e628ec96b022d52bc5e52e306cf8fa278df83d2a7780c28d69784e8d19c32,0.10000000,BTC,...,...,Coinbase - BTC Wallet,,,Transferred Bitcoin From Coinbase Pro,0.10000000,BTC,...,...,Coinbase Pro - BTC,bc1qm42h4key3w92tdsqt76ghspu99c9sgf7gp7e55,,,,,...,
02/18/2020 01:30:17,Send,,,,...,...,,,,,0.10000000,BTC,...,...,Coinbase - BTC Wallet,bc1qm42h4key3w92tdsqt76ghspu99c9sgf7gp7e55,,Sent Bitcoin To Bitcoin address,0.00000000,BTC,...,
02/18/2020 01:31:44,Transfer,b9c9044c51ef88fb65ed28a1c1b9f7c55a00b4cfd0542cab17514f7116aca8ad,4.83815887,ETH,...,...,Coinbase - ETH Wallet,,,Transferred Ethereum From Coinbase Pro,4.83815887,ETH,...,...,Coinbase Pro - ETH,0xb53eFe6ded3a59c2cb6A2AF1B1AD0ffF7bC8859C,,,,,...,
02/18/2020 01:31:45,Transfer,b9c9044c51ef88fb65ed28a1c1b9f7c55a00b4cfd0542cab17514f7116aca8ad,4.83815887,ETH,...,...,ETH Wallet ...C8859C - ETH,0xb53eFe6ded3a59c2cb6A2AF1B1AD0ffF7bC8859C,,,4.83815887,ETH,...,...,Coinbase - ETH Wallet,0xb53eFe6ded3a59c2cb6A2AF1B1AD0ffF7bC8859C,,Sent Ethereum To Ethereum address,0.00000000,ETH,...,
03/12/2020 13:52:46,Receive,,1000.00,USD,...,...,Coinbase Pro - USD,,,,,,...,...,,,,,,,...,
03/12/2020 13:52:48,Receive,,1000.00,USD,...,...,Coinbase - USD Wallet,,,Deposited funds From Wells Fargo - CHECKING ******1534,,,...,...,,,,,,,...,
03/18/2020 13:52:51,Send,,,,...,...,,,,,1000.00,USD,...,...,Coinbase - USD Wallet,,,Transferred funds To Coinbase Pro,,,...,
03/20/2020 13:13:47,Buy,,0.00242324,BTC,...,...,Coinbase Pro - BTC,,,,15.95,USD,...,...,Coinbase Pro - USD,,,,0.08,USD,...,
03/20/2020 13:16:31,Buy,,0.02799220,BTC,...,...,Coinbase Pro - BTC,,,,184.27,USD,...,...,Coinbase Pro - USD,,,,0.92,USD,...,
03/20/2020 13:16:38,Buy,,0.01958456,BTC,...,...,Coinbase Pro - BTC,,,,128.92,USD,...,...,Coinbase Pro - USD,,,,0.64,USD,...,
03/20/2020 20:21:52,Buy,,0.05000000,BTC,...,...,Coinbase Pro - BTC,,,,301.50,USD,...,...,Coinbase Pro - USD,,,,1.50,USD,...,
03/24/2020 15:10:14,Buy,,0.05654228,BTC,...,...,Coinbase Pro - BTC,,,,369.36,USD,...,...,Coinbase Pro - USD,,,,1.84,USD,...,
03/25/2020 13:38:10,Receive,,1000.00,USD,...,...,Coinbase Pro - USD,,,,,,...,...,,,,,,,...,
03/25/2020 13:38:11,Receive,,1000.00,USD,...,...,Coinbase - USD Wallet,,,Deposited funds From Wells Fargo - CHECKING ******1534,,,...,...,,,,,,,...,
03/31/2020 13:38:11,Send,,,,...,...,,,,,1000.00,USD,...,...,Coinbase - USD Wallet,,,Transferred funds To Coinbase Pro,,,...,
03/31/2020 14:42:17,Buy,,0.05000000,BTC,...,...,Coinbase Pro - BTC,,,,325.12,USD,...,...,Coinbase Pro - USD,,,,1.62,USD,...,
03/31/2020 15:19:06,Buy,,0.05000000,BTC,...,...,Coinbase Pro - BTC,,,,324.11,USD,...,...,Coinbase Pro - USD,,,,1.61,USD,...,
